product_name,category,price,quantity
Smartphone,Electronics,299.99,50
Laptop,Electronics,899.99,30
Headphones,Electronics,79.99,100
Keyboard,Accessories,49.99,150
Mouse,Accessories,29.99,200
Desk Lamp,Furniture,39.99,80
Office Chair,Furniture,129.99,45
Wrench,Tools,19.99,70
Hammer,Tools,15.99,60
Drill,Tools,149.99,25
Tablet,Electronics,399.99,40
Smartwatch,Electronics,199.99,60
Bluetooth Speaker,Electronics,129.99,90
Gaming Headset,Accessories,99.99,120
Laptop Stand,Accessories,34.99,180
Floor Lamp,Furniture,79.99,50
Bookshelf,Furniture,149.99,30
Screwdriver Set,Tools,24.99,100
Pliers,Tools,17.99,80
Chainsaw,Tools,249.99,15
